NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
97,2010,2학기,기초교육학부,GS1603-01,영어 C: Presentation and Discussion,필수,,교과,이시연[60939],학사,3/0/2,,"화 09:00~09:30
목 10:30~11:00",,20,18,Completion of English B or exemption from English A and B,,,N,N,view,,미등록,"Attendance
List",,
98,2010,2학기,기초교육학부,GS1603-02,영어 C: Presentation and Discussion,필수,,교과,이시연[60939],학사,3/0/2,,"화 10:30~11:00
목 09:00~09:30",,22,13,Completion of English B or exemption from English A and B,,,N,N,view,,미등록,"Attendance
List",,
99,2010,2학기,기초교육학부,GS2502-01,한국문학사의 쟁점,선택,,교과,심우장[60929],학사,3/0/3,,"화 09:30~10:00
목 10:30~11:00",,20,15,,,,N,N,view,,미등록,"Attendance
List",,
100,2010,2학기,기초교육학부,GS2522-01,개성과 정체성: 영미 성장기 문학,선택,,교과,이시연[60939],학사,3/0/3,,"화 10:30~11:00
목 09:30~10:00",,20,11,,,,N,N,view,,미등록,"Attendance
List",,
101,2010,2학기,기초교육학부,GS2543-01,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지,선택,,교과,최연희[61093],학사,3/0/3,,화 10:30~11:30,,20,16,There is no prerequisite for this class except curiosity and passion for understading of the modern art,,,N,N,view,,미등록,"Attendance
List",,
102,2010,2학기,기초교육학부,GS2602-01,한국사의 이해,선택,,교과,김용덕[60917],학사,3/0/3,,"화 09:30~10:00
목 10:30~11:00",,20,9,,,,N,N,view,,미등록,"Attendance
List",,
103,2010,2학기,기초교육학부,GS2604-01,"현대 중국의 이해: 계몽, 혁명, 시장",선택,,교과,이용주[60940],학사,3/0/3,,"화 10:30~11:00
목 09:30~10:00",,20,9,,,,N,N,view,,미등록,"Attendance
List",,
104,2010,2학기,기초교육학부,GS2704-01,기업과 사회,선택,,교과,장진호[60880],학사,3/0/3,,"화 09:30~10:00
목 10:30~11:00",,20,20,,,,N,N,view,,미등록,"Attendance
List",,
105,2010,2학기,기초교육학부,GS2705-01,"정보사회론: 기술, 미디어, 대중문화",선택,,교과,장진호[60880],학사,3/0/3,,"화 10:30~11:00
목 09:30~10:00",,20,20,,,,N,N,view,,미등록,"Attendance
List",,
106,2010,2학기,기초교육학부,GS2802-01,과학기술정책론,선택,,교과,노환진[60801],학사,2/0/2,,화 10:00~10:30,,20,12,,,,N,N,view,,미등록,"Attendance
List",,
107,2010,2학기,기초교육학부,GS2913-01,중국의 문화와 언어 Ⅱ,선택,,교과,이용주[60940],학사,2/0/2,,목 10:00~10:30,,20,9,,,,N,N,view,,미등록,"Attendance
List",,
108,2010,2학기,기초교육학부,GS2921-01,스페인의 문화와 언어,선택,,교과,박종율[61096],학사,2/0/2,,목 10:00~10:30,,20,15,스페인에 대한 전반적인 지식 사전 습득 요망,,,N,N,view,,미등록,"Attendance
List",,
109,2010,2학기,기초교육학부,GS3621-01,20세기 철학의 주제들 Ⅰ,선택,,교과,이용주[60940],학사,3/0/3,,"화 09:30~10:00
목 10:30~11:00",,20,15, will to read and think,,,N,N,view,,미등록,"Attendance
List",,
110,2011,인정학기,기초교육학부,GS0802-01,기타 인정과목 Ⅰ,선택,,교과,,학사,1/0/1,,,,0,3,,,,N,N,view,,미등록,"Attendance
List",,
111,2011,인정학기,기초교육학부,GS0803-01,기타 인정과목 Ⅱ,선택,,교과,,학사,3/0/3,,,,0,5,,,,N,N,view,,미등록,"Attendance
List",,
112,2011,인정학기,기초교육학부,GS1111-01,일반물리학 실험 I,필수,,교과,유운종[60956],학사,0/2/1,,일 :~:,,0,25,,,,N,N,view,,미등록,"Attendance
List",,
113,2011,인정학기,기초교육학부,GS1201-01,일반화학 및 연습 I,필수,,교과,"박진주[60957]
서지원[60955]",학사,3/1/3,,일 :~:,,0,1,,,,N,N,view,,미등록,"Attendance
List",,
114,2011,인정학기,기초교육학부,GS1211-01,일반화학실험 Ⅰ,필수,,교과,"박진주[60957]
서지원[60955]",학사,0/2/1,,일 :~:,,0,46,,,,N,N,view,,미등록,"Attendance
List",,
115,2011,1학기,기초교육학부,GS0103-01,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,김진욱[61202],학사,2/0/0,,일 :~:,,20,16,,,,N,N,view,,미등록,"Attendance
List",,
116,2011,1학기,기초교육학부,GS0103-02,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,나찬일[61015],학사,2/0/0,,일 :~:,,0,18,,,,N,N,view,,미등록,"Attendance
List",,
117,2011,1학기,기초교육학부,GS0103-03,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,나찬일[61015],학사,2/0/0,,일 :~:,,20,23,,,,N,N,view,,미등록,"Attendance
List",,
118,2011,1학기,기초교육학부,GS0103-04,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련, 골프",필수,,교과,나찬일[61015],학사,2/0/0,,일 :~:,,32,12,,,,N,N,view,,미등록,"Attendance
List",,
